评论ID,评论内容,评论评分,评论时间,评论版本
她说万幸得以相识,垃圾,1,2024/05/16,8.2.11
柳梓雯,见过的很差的产品，首先不能登录，其次我看有的登录了的总是弹窗出现索要权限，再者，这个软件很地方无法正常访问，还有消息也通知不及时。腾讯的东西就是差。,1,2024/05/16,8.2.11
biubiu biu,恢复聊天记录提示版本过低，简直垃圾到极点,1,2024/05/16,
刘天祺,不是因为我想看新版qq这堆逆天牛皮癣，而是tim它今天登录不上了,1,2024/05/16,8.2.11
迅雷无梦,烂到不懂说什么,1,2024/05/15,
Muscle Wang,快更新吧，新建的qq号已经提示版本太旧不能登录了。,2,2024/05/15,8.2.11
黄捷,垃圾,1,2024/05/15,
湛无不盛๑,一直说我的手机号码有问题，我请问呢？换了三个手机号都不行 你才有问题,1,2024/05/14,
Tan Sen Fong,无法登录,1,2024/05/13,
고니나,登陆不了，进不去,1,2024/05/13,8.2.11
meow meow,笑死，注册都不能的软件,1,2024/05/13,
meiying miki,登錄不到賬號他說要最新版本的我不知道哪一個是最新版本的他沒說,1,2024/05/13,8.2.11
Karen Ting,一直注册不到... 一直说要最新版本，都已经是最新的...,1,2024/05/13,8.2.11
Josie Amanda,味大无需多言,1,2024/05/12,8.2.11
Mn Jianhong124,信息怎么一直收不到,1,2024/05/12,8.2.11
Rei Sky,垃圾中的垃圾,1,2024/05/12,
Jack Tee Jun Jet,已是最新版本，但無法註冊。,1,2024/05/11,8.2.11
柳烟（天上白衣客）,更新！不更新备份迁移功能很容易和其他设备没法共用！,3,2024/05/10,8.2.11
酒久,广告多,1,2024/05/08,
Peng Wu,好用,5,2024/05/07,8.2.11
Grl BB,need Update,1,2024/05/07,8.2.11
胡乐雄,垃圾，文件藏得真用心,1,2024/05/06,
April Zhao,占用空间太大了,3,2024/05/04,8.2.11
Zhongfen He,QQ 更新 最新版本,5,2024/05/04,8.2.11
feiyan zjzhu,咋不更新,1,2024/05/04,8.2.11
Aaron,已经无法登陆了,1,2024/05/03,8.2.11
秦。,qq你姆丝了，不经过用户同意强制更新（我确定关掉了自动更新）已经三次了。,1,2024/05/03,8.2.11
金泽凯,too heavy and big,1,2024/05/02,
xiaoluo TNT,Play版本的QQ已经有将近4年没有更新了 虽说Play版本的在界面上简约，但是功能基本上都被阉割了 而国内版里面又有个虚幻4引擎，占用的空间很大,1,2024/05/02,8.2.11
神田空汰,安装不了,1,2024/05/02,8.2.11
KENT GUAN,无法更新新版本,1,2024/05/02,8.2.11
miuersaisi,腾讯阿米诺斯,1,2024/05/02,
WoaiZhou,举报就没用,1,2024/05/01,8.2.11
粉红羊,垃圾玩意，杀币狗内奸做的软件，誰下誰后悔,1,2024/05/01,8.2.11
Gle Goo,不打算更新APP了是吧！,1,2024/05/01,8.2.11
lun lun,垃圾垃圾垃圾，不想做可以下架，别搁这恶心人，很难想象什么样的公司能开发出这种垃圾软件。,1,2024/05/01,8.2.11
Yigooo,下载了不能使用的提示版本过低，，差评,1,2024/04/30,8.2.11
HKY FW,天才团队,1,2024/04/30,
Sixiang Li,为什么我的QQ打不开进不去？,5,2024/04/30,8.2.11
周言锡,安卓14，还是在使用29级API，还是要申请全部的存储空间才能读取文件。,2,2024/04/29,8.2.11
莫寒,无法授权登录，部分功能受限。,1,2024/04/28,8.2.11
Yiaoyao,gooooood(no,4,2024/04/28,
Van Shuo,不是最新版？,1,2024/04/28,
郑明,《2.5》分,5,2024/04/28,
王老冀,下架得了留着干什么,1,2024/04/28,
小怪兽略,真的垃圾,1,2024/04/27,
钱飞洪,更新一下啊，好多年没有更新了,4,2024/04/26,8.2.11
张家铭,笑死根本更新不了,1,2024/04/26,
Neil Tong,下架得了,1,2024/04/26,8.2.11
# SODA1,如果你不在中国，推荐你上谷歌去官方网站下载qq。谷歌的qq不更新了。,4,2024/04/26,
李白,测试版，马勒戈壁，莫名其妙！,1,2024/04/25,
Jerry,不能注册,1,2024/04/25,
白小生3344,垃圾，都几年没更新了,1,2024/04/25,8.2.11
Ramirez charles,各类账号接定制 QQ微信 推特 脸书 WhatsApp ins tg飞机号 独享VPN专线 电报联系@gyt543,5,2024/04/24,8.2.11
Ezio Auditore,啥也不是,1,2024/04/24,
刘智鑫,史，我不需要你更新这么多没用的软功能了，qq 你了,1,2024/04/24,
冉勇,可以,5,2024/04/24,
丁奈,更新啊啊啊,2,2024/04/23,
Google 用户,四年不更新，建议Google下架这个App吧。,1,2024/04/23,8.2.11
阿达西,垃圾,1,2024/04/22,
Jia Han Lim,为什么不能注册,1,2024/04/22,8.2.11
Namiko Suroki,登录不了,1,2024/04/21,8.2.11
Gong Ziyi,Good,5,2024/04/21,
文武,垃圾,1,2024/04/21,
x g,不更新。扫码登录提示版本太旧。,1,2024/04/20,8.2.11
Marcel,链接不稳定，就是让人无法登录,1,2024/04/20,
苏言,为啥我的一直要最新版本的,1,2024/04/20,8.2.11
花无缺,花里胡哨的。,1,2024/04/20,
Git Goh Lai,"差评！这么多年了,还是注册不了账号,网上各种方式都试了,依照网上看到的大部分评论,海外基本无法注册,甚至台湾中国注册也会失败。既然没法注册,那么给出那么多国家号码的选择有何意义？要不是出来的早,这应该...",1,2024/04/20,8.2.11
Pyw Pywhnxc999,好用,5,2024/04/20,8.2.11
Bianca,更新新版本更新不了 为什么 连着邮箱都不能登入了,1,2024/04/19,8.2.11
阮晓波,不好用,1,2024/04/19,
孟奕铭,广告先司马,1,2024/04/17,
希,一直让我用最新版注册，可是又更新不了,1,2024/04/16,
あsだだd,中国垃圾流氓软件的典范,1,2024/04/16,8.2.11
Wan Qi Lim,我注册的时候，叫我用最新版本来注册，问题是我下载后就注册了没有说要更新，差评,1,2024/04/15,
Guangchen Lian,好,5,2024/04/15,8.2.11
美位,希望QQ更新，謝謝QQ。,5,2024/04/15,
月色渔火,国内那个沙币版，一堆若志功能，烦得不行又占用特别大内存，还停用旧版本，怎么不把逆码也一起停用了。 国际版开始犯病了，无法跳转登陆，建议逆码的时间也别跳了,1,2024/04/14,8.2.11
yang gao,已经是最新版本了，登录PUBG显示不是最新版本无法授权？,1,2024/04/14,
Snow KouKi,内存太大,1,2024/04/14,
yying,根本注册不到，一直说下载最新版本,1,2024/04/14,8.2.11
well max,一堆bug，还不更新修复,1,2024/04/13,8.2.11
Hariteki,"不让我登陆，说只能用官网版登录，说play版版本过低无法登陆，我就是在play商店下的最新版本也不行, 这样是不是违反谷歌 Play商店规则了？？希望你在iOS上也能这样搞好吧😅",1,2024/04/12,8.2.11
Xiong Patrick,垃圾。注册不了,1,2024/04/12,8.2.11
Wei Yi Tan,完全不能注册，换了号码和手机都不行,1,2024/04/11,8.2.11
Sheng Qi,经常收到信息延迟，无提醒，害我失恋,1,2024/04/11,8.2.11
F Z,野蛮,1,2024/04/11,8.2.11
曾燕,纯黑界面不适配，上下两边有白色框，根本不是全黑,1,2024/04/11,
盲青（牛雅洁）,垃圾,1,2024/04/10,
Vernice Lee,我要注册但是它一直叫我下崽最新版本根本找不到最新版本,2,2024/04/09,
鲍宇轩,能不能更新一下，官网已经都QQ9了，然而国外用户就不管死活了是吧？,1,2024/04/07,
NotQuick秋烨,"不对啊,我是新用户,然后注册等着,结果显示不安全,屁咧",1,2024/04/06,8.2.11
Chelin Liu,更新太慢，play版本就是拿来做个样子，上一个版本还是2020年,1,2024/04/06,8.2.11
罗磊,2年没有更新过了，登录腾讯视频需要调用QQ，然而版本太低，登录不上,1,2024/04/06,
XCZ CODM,垃圾,1,2024/04/05,
凯尔希,垃圾东西,1,2024/04/05,
Kong Teck Wei,都不能注册,1,2024/04/05,
白ice,臃肿，垃圾，更新频繁，0分,1,2024/04/04,8.2.11
幽桑表示谱太难打就糊,你这多长时间没更新了？,1,2024/04/04,8.2.11
Chang Alex,什麼破QQ哦我注冊的時候跟我什麼電話號碼不安全我才剛買的電話號碼注冊失敗,1,2024/04/04,
Mow Chee Lee,各位官方工作人員和遊戲開發者們，你們好，請問為什麼我開新帳號時無法登入？,1,2024/04/04,8.2.11
MAIRTINI,垃圾,1,2024/04/04,
心天使,简直垃圾 不给注册,1,2024/04/03,8.2.11
王笑云,Please update!!,1,2024/03/31,8.2.11
